# test0b_cow_rebuild.py v1.0 | sha256(inter)=2535e30b145141c3
year,wars_replica,wars_fixed
1816,2.0999999999999996,2.0999999999999996
1817,4.199999999999999,4.199999999999999
1818,4.6,5.0
1819,1.1,2.3000000000000003
1820,1.9000000000000001,3.5
1821,4.9,6.9
1822,3.4,5.0
1823,3.5,4.7
1824,2.8999999999999995,3.6999999999999993
1825,4.3,5.5
1826,5.3999999999999995,7.3999999999999995
1827,2.4999999999999996,4.5
1828,4.5,6.1
1829,3.4,5.0
1830,3.0,4.2
1831,2.0,3.2
1832,3.1000000000000005,3.5000000000000004
1833,1.5,2.3
1834,2.7,3.5
1835,3.1000000000000005,3.5000000000000004
1836,3.1000000000000005,3.9000000000000004
1837,3.1000000000000005,4.300000000000001
1838,3.5,4.7
1839,4.5,5.7
1840,4.9,5.699999999999999
1841,6.8,7.199999999999999
1842,4.1,4.5
1843,4.0,4.0
1844,2.8999999999999995,3.3
1845,4.7,5.1
1846,9.100000000000001,9.100000000000001
1847,7.1,7.5
1848,13.5,13.9
1849,14.6,14.6
1850,3.0,3.4
1851,5.699999999999999,6.1
1852,5.4,6.6
1853,3.2,4.0
1854,7.1000000000000005,8.3
1855,8.0,9.6
1856,12.399999999999999,15.2
1857,5.9,8.3
1858,4.0,6.4
1859,10.399999999999999,12.0
1860,12.7,14.7
1861,6.7,7.5
1862,7.500000000000001,8.3
1863,11.5,12.3
1864,15.899999999999999,16.7
1865,13.8,14.600000000000001
1866,24.4,24.799999999999997
1867,9.3,9.3
1868,8.0,8.4
1869,6.800000000000001,7.200000000000001
1870,12.9,13.700000000000001
1871,7.3,8.1
1872,4.5,5.3
1873,4.8,4.8
1874,4.4,4.4
1875,3.5999999999999996,3.5999999999999996
1876,7.9,7.9
1877,6.0,6.0
1878,7.699999999999999,7.699999999999999
1879,6.6,6.6
1880,6.2,6.2
1881,7.6,7.6
1882,8.2,8.2
1883,6.2,7.0
1884,5.6,6.8
1885,9.0,9.8
1886,1.4,2.2
1887,1.4,2.2
1888,1.4,2.6
1889,0.7,1.9000000000000001
1890,2.2,2.5999999999999996
1891,1.9000000000000001,2.3000000000000003
1892,2.2,2.5999999999999996
1893,4.3,5.1
1894,7.799999999999999,8.2
1895,8.6,8.6
1896,5.9,5.9
1897,6.3,6.3
1898,6.3,6.3
1899,4.8,4.8
1900,12.0,12.0
1901,4.0,4.0
1902,5.799999999999999,5.799999999999999
1903,4.7,4.7
1904,7.3999999999999995,7.3999999999999995
1905,4.8999999999999995,4.8999999999999995
1906,7.3,7.3
1907,6.6,6.6
1908,2.8999999999999995,2.8999999999999995
1909,6.4,6.4
1910,6.8,6.8
1911,4.7,4.7
1912,9.4,9.4
1913,13.0,13.0
1914,12.4,12.4
1915,13.299999999999999,13.299999999999999
1916,15.0,15.0
1917,17.4,17.4
1918,22.4,22.4
1919,21.1,21.5
1920,21.5,21.5
1921,10.0,10.0
1922,5.4,5.4
1923,3.0,3.0
1924,3.4,3.8
1925,4.4,4.8
1926,4.4,4.4
1927,2.6,2.6
1928,2.7,2.7
1929,5.5,5.5
1930,4.5,4.5
1931,5.3,5.3
1932,7.5,7.5
1933,5.6,5.6
1934,6.0,6.0
1935,4.4,4.4
1936,4.2,4.2
1937,4.2,4.2
1938,6.2,6.2
1939,16.5,16.5
1940,19.4,19.4
1941,23.4,23.4
1942,15.0,15.0
1943,16.4,16.4
1944,19.8,19.8
1945,20.799999999999997,20.799999999999997
1946,4.1,4.5
1947,6.2,7.4
1948,14.0,15.2
1949,7.800000000000001,8.200000000000001
1950,13.5,13.5
1951,18.599999999999998,18.599999999999998
1952,20.400000000000002,20.400000000000002
1953,20.7,20.7
1954,6.999999999999999,6.999999999999999
1955,6.4,6.4
1956,10.8,10.8
1957,6.1,6.1
1958,9.200000000000001,9.200000000000001
1959,3.5,3.9000000000000004
1960,3.5,3.9000000000000004
1961,4.2,4.6
1962,6.6,7.0
1963,3.9000000000000004,3.9000000000000004
1964,4.6,4.6
1965,12.0,12.0
1966,10.200000000000001,10.200000000000001
1967,16.0,16.0
1968,15.4,15.8
1969,17.8,18.200000000000003
1970,23.0,23.4
1971,22.599999999999998,22.999999999999996
1972,16.2,16.2
1973,21.599999999999998,21.599999999999998
1974,9.200000000000001,9.600000000000001
1975,14.1,14.9
1976,12.3,12.3
1977,11.5,11.5
1978,15.9,15.9
1979,16.1,16.1
1980,10.2,10.2
1981,10.2,10.2
1982,15.399999999999999,15.399999999999999
1983,12.2,12.2
1984,11.5,11.5
1985,10.7,10.7
1986,13.5,13.5
1987,15.5,15.5
1988,11.100000000000001,11.5
1989,10.4,10.8
1990,10.0,10.4
1991,25.5,25.9
1992,14.900000000000002,15.3
1993,10.4,10.8
1994,10.4,10.8
1995,8.8,9.2
1996,6.0,6.4
1997,6.300000000000001,6.7
1998,8.4,8.8
1999,18.8,19.6
2000,8.3,9.1
2001,12.7,18.4
2002,5.500000000000001,11.2
2003,8.3,16.1
2004,5.6,15.5
2005,4.9,14.8
2006,3.5,13.0
2007,1.6,11.5
