# {"script": "test0c_build_canonical.py v2.0", "ucdp_weights": {"2": 1.0, "3": 0.4, "4": 0.7}, "level_W": {"scale": 0.449, "D2_ratio": 1.348, "D2_pass": true, "D3_jump_sd": 1.077, "D3_pass": false}, "level_P": {"scale": 0.71, "D2_ratio": 1.265, "D2_pass": true, "D3_jump_sd": 0.231, "D3_pass": true}}
variant,year,source,value,value_ma11c,value_ma11t
A_COW_W,1816,COW,1.4,3.8833333333333333,1.4
A_COW_W,1817,COW,4.199999999999999,4.042857142857143,2.8
A_COW_W,1818,COW,5.0,4.0,3.533333333333333
A_COW_W,1819,COW,2.3000000000000003,3.966666666666667,3.225
A_COW_W,1820,COW,3.5,4.12,3.28
A_COW_W,1821,COW,6.9,4.418181818181818,3.8833333333333333
A_COW_W,1822,COW,5.0,4.7,4.042857142857143
A_COW_W,1823,COW,3.7,4.781818181818181,4.0
A_COW_W,1824,COW,3.6999999999999993,4.6909090909090905,3.966666666666667
A_COW_W,1825,COW,5.5,4.863636363636363,4.12
A_COW_W,1826,COW,7.3999999999999995,4.836363636363637,4.418181818181818
A_COW_W,1827,COW,4.5,4.527272727272727,4.7
A_COW_W,1828,COW,5.1,4.281818181818181,4.781818181818181
A_COW_W,1829,COW,4.0,4.263636363636364,4.6909090909090905
A_COW_W,1830,COW,4.2,4.245454545454545,4.863636363636363
A_COW_W,1831,COW,3.2,4.1,4.836363636363637
A_COW_W,1832,COW,3.5000000000000004,3.8181818181818183,4.527272727272727
A_COW_W,1833,COW,2.3,3.8363636363636364,4.281818181818181
A_COW_W,1834,COW,3.5,3.890909090909091,4.263636363636364
A_COW_W,1835,COW,3.5000000000000004,4.045454545454546,4.245454545454545
A_COW_W,1836,COW,3.9000000000000004,4.318181818181818,4.1
A_COW_W,1837,COW,4.300000000000001,4.4363636363636365,3.8181818181818183
A_COW_W,1838,COW,4.7,4.4818181818181815,3.8363636363636364
A_COW_W,1839,COW,5.7,4.572727272727273,3.890909090909091
A_COW_W,1840,COW,5.699999999999999,4.590909090909091,4.045454545454546
A_COW_W,1841,COW,7.199999999999999,4.754545454545454,4.318181818181818
A_COW_W,1842,COW,4.5,4.863636363636363,4.4363636363636365
A_COW_W,1843,COW,4.0,5.245454545454545,4.4818181818181815
A_COW_W,1844,COW,3.3,5.5636363636363635,4.572727272727273
A_COW_W,1845,COW,3.6999999999999997,5.3545454545454545,4.590909090909091
A_COW_W,1846,COW,5.3,5.3,4.754545454545454
A_COW_W,1847,COW,5.1,5.154545454545455,4.863636363636363
A_COW_W,1848,COW,8.5,5.0181818181818185,5.245454545454545
A_COW_W,1849,COW,8.2,5.136363636363637,5.5636363636363635
A_COW_W,1850,COW,3.4,5.345454545454545,5.3545454545454545
A_COW_W,1851,COW,5.1,5.872727272727272,5.3
A_COW_W,1852,COW,5.6,5.990909090909091,5.154545454545455
A_COW_W,1853,COW,3.0,6.045454545454546,5.0181818181818185
A_COW_W,1854,COW,5.300000000000001,6.027272727272727,5.136363636363637
A_COW_W,1855,COW,5.6,6.281818181818181,5.345454545454545
A_COW_W,1856,COW,9.5,6.5636363636363635,5.872727272727272
A_COW_W,1857,COW,6.6000000000000005,6.763636363636365,5.990909090909091
A_COW_W,1858,COW,5.7,7.127272727272728,6.045454545454546
A_COW_W,1859,COW,8.3,7.818181818181818,6.027272727272727
A_COW_W,1860,COW,11.0,8.299999999999999,6.281818181818181
A_COW_W,1861,COW,6.5,8.681818181818182,6.5636363636363635
A_COW_W,1862,COW,7.300000000000001,8.39090909090909,6.763636363636365
A_COW_W,1863,COW,9.6,8.372727272727273,7.127272727272728
A_COW_W,1864,COW,10.6,8.327272727272728,7.818181818181818
A_COW_W,1865,COW,10.6,8.272727272727273,8.299999999999999
A_COW_W,1866,COW,9.8,7.918181818181819,8.681818181818182
A_COW_W,1867,COW,6.300000000000001,7.8090909090909095,8.39090909090909
A_COW_W,1868,COW,6.4,7.581818181818181,8.372727272727273
A_COW_W,1869,COW,5.2,7.109090909090909,8.327272727272728
A_COW_W,1870,COW,7.699999999999999,6.472727272727273,8.272727272727273
A_COW_W,1871,COW,7.1,6.136363636363637,7.918181818181819
A_COW_W,1872,COW,5.3,5.7,7.8090909090909095
A_COW_W,1873,COW,4.8,5.736363636363636,7.581818181818181
A_COW_W,1874,COW,4.4,5.572727272727272,7.109090909090909
A_COW_W,1875,COW,3.5999999999999996,5.4818181818181815,6.472727272727273
A_COW_W,1876,COW,6.9,5.2272727272727275,6.136363636363637
A_COW_W,1877,COW,5.0,4.990909090909091,5.7
A_COW_W,1878,COW,6.699999999999999,4.8999999999999995,5.736363636363636
A_COW_W,1879,COW,4.6,4.927272727272728,5.572727272727272
A_COW_W,1880,COW,4.2,5.236363636363635,5.4818181818181815
A_COW_W,1881,COW,4.9,5.109090909090909,5.2272727272727275
A_COW_W,1882,COW,4.5,4.681818181818181,4.990909090909091
A_COW_W,1883,COW,4.3,4.463636363636363,4.8999999999999995
A_COW_W,1884,COW,5.1,4.027272727272727,4.927272727272728
A_COW_W,1885,COW,7.799999999999999,3.8454545454545452,5.236363636363635
A_COW_W,1886,COW,2.2,3.6727272727272724,5.109090909090909
A_COW_W,1887,COW,2.2,3.463636363636363,4.681818181818181
A_COW_W,1888,COW,2.6,3.5181818181818176,4.463636363636363
A_COW_W,1889,COW,1.9000000000000001,3.7818181818181813,4.027272727272727
A_COW_W,1890,COW,2.5999999999999996,4.009090909090909,3.8454545454545452
A_COW_W,1891,COW,2.3000000000000003,3.8363636363636364,3.6727272727272724
A_COW_W,1892,COW,2.5999999999999996,4.118181818181818,3.463636363636363
A_COW_W,1893,COW,5.1,4.3999999999999995,3.5181818181818176
A_COW_W,1894,COW,7.199999999999999,4.6000000000000005,3.7818181818181813
A_COW_W,1895,COW,7.6,4.972727272727273,4.009090909090909
A_COW_W,1896,COW,5.9,5.036363636363636,3.8363636363636364
A_COW_W,1897,COW,5.3,5.29090909090909,4.118181818181818
A_COW_W,1898,COW,5.3,5.418181818181818,4.3999999999999995
A_COW_W,1899,COW,4.8,5.472727272727273,4.6000000000000005
A_COW_W,1900,COW,6.0,5.172727272727273,4.972727272727273
A_COW_W,1901,COW,3.3,4.963636363636364,5.036363636363636
A_COW_W,1902,COW,5.1,4.845454545454546,5.29090909090909
A_COW_W,1903,COW,4.0,4.627272727272727,5.418181818181818
A_COW_W,1904,COW,5.7,4.636363636363637,5.472727272727273
A_COW_W,1905,COW,3.8999999999999995,4.727272727272727,5.172727272727273
A_COW_W,1906,COW,5.3,4.518181818181818,4.963636363636364
A_COW_W,1907,COW,4.6,4.709090909090909,4.845454545454546
A_COW_W,1908,COW,2.8999999999999995,4.7272727272727275,4.627272727272727
A_COW_W,1909,COW,5.4,4.699999999999999,4.636363636363637
A_COW_W,1910,COW,5.8,4.481818181818182,4.727272727272727
A_COW_W,1911,COW,3.7,4.4,4.518181818181818
A_COW_W,1912,COW,5.4,4.2272727272727275,4.709090909090909
A_COW_W,1913,COW,5.3,4.390909090909091,4.7272727272727275
A_COW_W,1914,COW,3.7,5.081818181818182,4.699999999999999
A_COW_W,1915,COW,3.3,5.818181818181818,4.481818181818182
A_COW_W,1916,COW,3.0,5.954545454545454,4.4
A_COW_W,1917,COW,3.4000000000000004,6.0181818181818185,4.2272727272727275
A_COW_W,1918,COW,6.4,5.800000000000001,4.390909090909091
A_COW_W,1919,COW,10.5,5.663636363636363,5.081818181818182
A_COW_W,1920,COW,13.5,5.7,5.818181818181818
A_COW_W,1921,COW,7.3,5.736363636363635,5.954545454545454
