year,wars_raw,source,wars_smooth,color,pop
1816,2.1,COW,3.133333333333333,-0.2679869481850897,
1817,4.199999999999999,COW,3.1714285714285713,-0.3023115622594077,
1818,4.6,COW,3.2125,-0.2650039689203785,
1819,1.1,COW,3.1777777777777776,-0.1995777924249586,
1820,1.9,COW,3.29,-0.2362154853281438,1065623616.0
1821,4.9,COW,3.4818181818181815,-0.2172814974310022,
1822,3.4,COW,3.5181818181818176,-0.227947850653995,
1823,3.5,COW,3.5454545454545454,-0.2883356142406911,
1824,2.8999999999999995,COW,3.436363636363636,-0.1721309517883861,
1825,4.3,COW,3.609090909090909,-0.2626749782282452,
1826,5.4,COW,3.6181818181818177,-0.1595955568414562,
1827,2.5,COW,3.4545454545454546,-0.2849018173389603,
1828,4.5,COW,3.2818181818181817,-0.235634363050369,
1829,3.4,COW,3.2090909090909094,-0.2407624674266022,
1830,3.0,COW,3.227272727272727,-0.1903309097010627,1148205440.0
1831,2.0,COW,3.1181818181818186,-0.2281699536562383,
1832,3.1000000000000005,COW,2.9090909090909096,-0.2374160026525874,
1833,1.5,COW,3.0000000000000004,-0.185471702737704,
1834,2.7,COW,3.0,-0.2255711084506184,
1835,3.1000000000000005,COW,3.1363636363636362,-0.2537193184356092,
1836,3.1000000000000005,COW,3.4818181818181824,-0.2164289898797449,
1837,3.1000000000000005,COW,3.6727272727272724,-0.2423933637065446,
1838,3.5,COW,3.7545454545454544,-0.2471771780513061,
1839,4.5,COW,3.8818181818181823,-0.2230723321081552,
1840,4.9,COW,4.0636363636363635,-0.2303220032071169,1209754496.0
1841,6.8,COW,4.609090909090909,-0.2255280314681519,
1842,4.1,COW,4.972727272727273,-0.2223225257378941,
1843,4.0,COW,5.918181818181818,-0.2320536133671136,
1844,2.8999999999999995,COW,6.927272727272728,-0.2051109234642183,
1845,4.7,COW,6.790909090909091,-0.2586433334089979,
1846,9.1,COW,6.863636363636363,-0.2275395146965297,
1847,7.1,COW,6.736363636363635,-0.2565947260262206,
1848,13.5,COW,6.654545454545455,-0.2396941282839219,
1849,14.6,COW,6.9363636363636365,-0.2593391565675664,
1850,3.0,COW,7.3999999999999995,-0.282734470494743,1287033856.0
1851,5.699999999999999,COW,8.1,-0.2112920382290273,
1852,5.4,COW,7.8090909090909095,-0.2912850437978577,
1853,3.2,COW,7.527272727272728,-0.2420417875921307,
1854,7.1000000000000005,COW,7.245454545454546,-0.2546094960433961,
1855,8.0,COW,7.072727272727272,-0.2926163204765881,
1856,12.4,COW,7.409090909090909,-0.2809969847974722,
1857,5.9,COW,7.572727272727274,-0.2979715500584869,
1858,4.0,COW,8.127272727272727,-0.2575552823667421,
1859,10.4,COW,9.281818181818181,-0.2736556994040011,
1860,12.7,COW,9.890909090909092,-0.297173962685942,1346093952.0
1861,6.7,COW,11.381818181818183,-0.3226906493500243,
1862,7.500000000000001,COW,11.1,-0.3807531195433053,
1863,11.5,COW,11.29090909090909,-0.3587618341310818,
1864,15.9,COW,11.545454545454545,-0.3564352088859078,
1865,13.8,COW,11.772727272727273,-0.3948891621347744,
1866,24.4,COW,11.281818181818183,-0.4577480829116147,
1867,9.3,COW,11.081818181818182,-0.3838573036084147,
1868,8.0,COW,10.836363636363636,-0.3900372592447092,
1869,6.800000000000001,COW,10.19090909090909,-0.3210728516854758,
1870,12.9,COW,9.072727272727272,-0.3086902486646358,1346763136.0
1871,7.3,COW,8.536363636363635,-0.3389744264540463,
1872,4.5,COW,6.863636363636363,-0.2509859344881446,
1873,4.8,COW,6.718181818181818,-0.2487828226042395,
1874,4.4,COW,6.590909090909091,-0.2813244580876223,
1875,3.6,COW,6.536363636363635,-0.2897439764561418,
1876,7.9,COW,6.054545454545454,-0.3197469215483057,
1877,6.0,COW,6.136363636363637,-0.2665895823260525,
1878,7.699999999999999,COW,6.290909090909091,-0.3191690496770498,
1879,6.6,COW,6.363636363636363,-0.3062568312695727,
1880,6.2,COW,6.781818181818181,-0.3189861826788859,1427718912.0
1881,7.6,COW,6.581818181818182,-0.3593671915671709,
1882,8.2,COW,5.99090909090909,-0.3276592534269844,
1883,6.2,COW,5.572727272727272,-0.3129021999204009,
1884,5.6,COW,4.9363636363636365,-0.3046776799087027,
1885,9.0,COW,4.536363636363636,-0.3413500003549361,
1886,1.4,COW,4.145454545454545,-0.3336203091732722,
1887,1.4,COW,3.6545454545454548,-0.3101836690497015,
1888,1.4,COW,3.3,-0.3077507355376402,
1889,0.7,COW,3.4454545454545453,-0.3286769802231817,
1890,2.2,COW,3.7181818181818183,-0.3630085141076326,1548405760.0
1891,1.9,COW,3.436363636363636,-0.3170894206237372,
1892,2.2,COW,3.8818181818181823,-0.3439469594399003,
1893,4.3,COW,4.327272727272727,-0.3455656917501466,
1894,7.799999999999999,COW,4.636363636363636,-0.3224661345147913,
1895,8.6,COW,5.663636363636363,-0.347658876327059,
1896,5.9,COW,5.827272727272727,-0.3439358322544007,
1897,6.3,COW,6.181818181818182,-0.3723652337497056,
1898,6.3,COW,6.409090909090909,-0.3574525144158003,
1899,4.8,COW,6.6909090909090905,-0.3805975067224533,
1900,12.0,COW,6.427272727272728,-0.3308659558668492,1670635648.0
1901,4.0,COW,6.3090909090909095,-0.3338539608649616,
1902,5.799999999999999,COW,6.372727272727272,-0.3144529286485881,
1903,4.7,COW,6.063636363636363,-0.324529903684226,
1904,7.399999999999999,COW,6.072727272727272,-0.2997460410897506,
1905,4.9,COW,6.254545454545454,-0.3242535489496264,
1906,7.3,COW,5.590909090909091,-0.3214970816903257,
1907,6.6,COW,6.081818181818182,-0.3441142893222618,
1908,2.8999999999999995,COW,6.736363636363635,-0.2961705255667621,
1909,6.4,COW,7.4363636363636365,-0.2871900412967393,
1910,6.8,COW,7.972727272727273,-0.3130140140522409,1800219392.0
1911,4.7,COW,8.89090909090909,-0.3189135467055639,
1912,9.4,COW,9.80909090909091,-0.3075703599085467,
1913,13.0,COW,11.245454545454546,-0.317799528347557,
1914,12.4,COW,12.9,-0.3386647420212418,
1915,13.3,COW,14.272727272727273,-0.3748994436296327,
1916,15.0,COW,14.563636363636364,-0.3722343624953046,
1917,17.4,COW,14.627272727272727,-0.4278214065350166,
1918,22.4,COW,14.045454545454545,-0.4741722489879382,
1919,21.1,COW,13.17272727272727,-0.478640576647068,
1920,21.5,COW,12.445454545454545,-0.4096929496904275,1927857152.0
1921,10.0,COW,11.636363636363637,-0.3742382912661754,
