letter,year,letter_tokens
a,1505,4991
a,1507,8116
a,1515,52813
a,1520,10309
a,1524,48259
a,1525,623
a,1527,736
a,1541,1058
a,1563,41630
a,1564,11412
a,1568,32662
a,1572,34176
a,1574,10347
a,1575,31989
a,1579,39310
a,1581,126523
a,1582,29961
a,1584,23615
a,1587,52937
a,1588,6059
a,1589,6824
a,1590,122900
a,1592,17277
a,1593,7035
a,1594,2058
a,1595,5074
a,1597,1827
a,1598,15486
a,1600,77808
a,1602,596
a,1603,11131
a,1605,2804
a,1606,11652
a,1607,72858
a,1610,1112
a,1611,8424
a,1612,9040
a,1614,1382
a,1618,3886
a,1619,11433
a,1620,40379
a,1621,12459
a,1623,23106
a,1624,28427
a,1625,13586
a,1626,7071
a,1628,1117
a,1629,56373
a,1630,25143
a,1631,73434
a,1632,8521
a,1634,25973
a,1635,48645
a,1636,6303
a,1637,113578
a,1638,45172
a,1640,10698
a,1641,7848
a,1642,25442
a,1643,32536
a,1644,191066
a,1645,47006
a,1646,11274
a,1647,62259
a,1648,88043
a,1649,52453
a,1650,34726
a,1651,101939
a,1652,32027
a,1653,74674
a,1654,8043
a,1655,55495
a,1656,121157
a,1657,61580
a,1658,166438
a,1659,117469
a,1660,25885
a,1661,25510
a,1662,43731
a,1663,37560
a,1664,55536
a,1665,55221
a,1666,15143
a,1667,151650
a,1668,204202
a,1669,68397
a,1670,131229
a,1671,28587
a,1672,77729
a,1673,174288
a,1674,24391
a,1675,313837
a,1676,343430
a,1677,163061
a,1678,372748
a,1679,214187
a,1680,211262
a,1681,501732
a,1682,680190
a,1683,783199
a,1684,321990
a,1685,448662
a,1686,263131
a,1687,223756
a,1688,501624
a,1689,188308
a,1690,177185
a,1691,62764
a,1692,336391
a,1693,209016
a,1694,409754
a,1695,227372
a,1696,159901
a,1697,189278
a,1698,602018
a,1699,542976
a,1700,734606
a,1701,779709
a,1702,963422
a,1703,800779
a,1704,983682
a,1705,983831
a,1706,1319408
a,1707,1099667
a,1708,1280038
a,1709,640852
a,1710,1362029
a,1711,1299397
a,1712,746775
a,1713,935870
a,1714,1524371
a,1715,1253808
a,1716,985440
a,1717,1386204
a,1718,1018138
a,1719,962947
a,1720,1888826
a,1721,1370470
a,1722,2104962
a,1723,1427446
a,1724,1677802
a,1725,2057915
a,1726,1955394
a,1727,2490787
a,1728,2142043
a,1729,2454280
a,1730,2386184
a,1731,2514391
a,1732,2069424
a,1733,1148226
a,1734,1952072
a,1735,1806892
a,1736,1517701
a,1737,2556578
a,1738,2696747
a,1739,2220738
a,1740,2195284
a,1741,1574703
a,1742,2236024
a,1743,1846654
a,1744,2718461
a,1745,1757996
a,1746,1406775
a,1747,3073595
a,1748,2983651
a,1749,2429392
a,1750,3752288
a,1751,3971947
a,1752,2866776
a,1753,3777261
a,1754,3996302
a,1755,4039073
a,1756,1689561
a,1757,2689692
a,1758,3365970
a,1759,4088447
a,1760,2823122
a,1761,3439930
a,1762,2173198
a,1763,3806238
a,1764,3645663
a,1765,2985706
a,1766,5185367
a,1767,3897360
a,1768,5288190
a,1769,3513508
a,1770,4307239
a,1771,3864055
a,1772,3899574
a,1773,3578482
a,1774,3764514
a,1775,4855571
a,1776,5108219
a,1777,4312273
a,1778,3954326
a,1779,3550181
a,1780,3750206
a,1781,4130940
a,1782,4130191
a,1783,4053912
a,1784,5171113
a,1785,5085867
a,1786,5372767
a,1787,7790708
a,1788,8430902
a,1789,7434778
a,1790,7900051
a,1791,8591260
a,1792,9195926
a,1793,8142428
a,1794,9453789
a,1795,8865279
a,1796,10711999
a,1797,9019326
a,1798,8795553
a,1799,9683601
a,1800,13725275
a,1801,20822801
a,1802,18538492
a,1803,20417658
a,1804,22095728
a,1805,22400225
a,1806,22704001
a,1807,25073446
a,1808,25261007
a,1809,26883676
a,1810,29086771
a,1811,33916749
a,1812,33088358
a,1813,28013206
a,1814,32381080
a,1815,30322347
a,1816,30986814
a,1817,35106621
a,1818,39584526
a,1819,34206953
a,1820,44746093
a,1821,35036998
a,1822,52339982
a,1823,49687023
a,1824,59827856
a,1825,61386183
a,1826,47624875
a,1827,49008902
a,1828,53426926
a,1829,57248499
a,1830,66858087
a,1831,61117813
a,1832,60527785
a,1833,60246041
a,1834,58945504
a,1835,69577957
a,1836,71105646
a,1837,65514346
a,1838,69635361
a,1839,80314117
a,1840,82063104
a,1841,75170331
a,1842,68075864
a,1843,78037317
a,1844,81295484
a,1845,88325889
a,1846,88938095
a,1847,86090415
a,1848,90137273
a,1849,91492860
a,1850,98534834
a,1851,104390359
a,1852,109480356
a,1853,121299350
a,1854,133015581
a,1855,117249101
a,1856,127016864
a,1857,110233303
a,1858,104432549
a,1859,114244531
a,1860,117760528
a,1861,89019433
a,1862,76639645
a,1863,80449412
a,1864,94651347
a,1865,97172402
a,1866,104912689
a,1867,100138739
a,1868,105387927
a,1869,107888409
a,1870,105723922
a,1871,108211670
a,1872,109137968
a,1873,112435532
a,1874,122854707
a,1875,123745508
a,1876,130678755
a,1877,128206564
a,1878,120708724
a,1879,126081118
a,1880,150932531
a,1881,151773075
a,1882,159231856
a,1883,179309441
a,1884,169251676
a,1885,164690193
a,1886,139268625
a,1887,154047991
a,1888,152243483
a,1889,146742745
a,1890,150090200
a,1891,162762418
a,1892,178623447
a,1893,175172365
a,1894,171564719
a,1895,188609007
a,1896,200504393
a,1897,196546670
a,1898,211862442
a,1899,234617240
a,1900,254691048
a,1901,244592795
a,1902,248895355
a,1903,240188099
a,1904,266970555
a,1905,257099889
a,1906,265322695
a,1907,267010451
a,1908,269182316
a,1909,243576868
a,1910,257064871
a,1911,256621628
a,1912,272089127
a,1913,257282090
a,1914,252183062
a,1915,229950459
a,1916,222477967
a,1917,224875207
a,1918,197978001
a,1919,216445243
a,1920,264558155
a,1921,231192577
a,1922,268303461
a,1923,219715601
a,1924,202814699
a,1925,210373772
a,1926,199146827
a,1927,230397067
a,1928,229807426
a,1929,217866903
a,1930,235291357
a,1931,222961374
a,1932,199019105
a,1933,171890024
a,1934,197681638
a,1935,216590848
a,1936,224969221
a,1937,231933247
a,1938,236679326
a,1939,234965237
a,1940,221331324
a,1941,203533253
a,1942,197662117
a,1943,168203398
a,1944,153792012
a,1945,175725050
a,1946,228246842
a,1947,262279478
a,1948,280822650
a,1949,310245371
a,1950,310187480
a,1951,302250386
a,1952,305147884
a,1953,299648720
a,1954,313383785
a,1955,329992263
a,1956,341929914
a,1957,366976489
a,1958,371082854
a,1959,387721107
a,1960,440385442
a,1961,482440507
a,1962,530533449
a,1963,555199354
a,1964,549999115
a,1965,620515219
a,1966,650866423
a,1967,688509682
a,1968,747240855
a,1969,741473516
a,1970,769183201
a,1971,764576992
a,1972,785504190
a,1973,764337323
a,1974,760307551
a,1975,771355390
a,1976,796417296
a,1977,809068211
a,1978,817596369
a,1979,849633166
a,1980,863562614
a,1981,863265745
a,1982,904162675
a,1983,929453625
a,1984,991671997
a,1985,1021312990
a,1986,1079549294
a,1987,1105660600
a,1988,1153129627
a,1989,1219247405
a,1990,1317090524
a,1991,1281119023
a,1992,1414949393
a,1993,1392992801
a,1994,1494086139
a,1995,1542556527
a,1996,1634435337
a,1997,1679663373
a,1998,1761890329
a,1999,1872148259
a,2000,2094313678
a,2001,2129051990
a,2002,2343867177
a,2003,2555491088
a,2004,2763682452
a,2005,2709394276
a,2006,2876311885
a,2007,3048719152
a,2008,3679259384
b,1505,1612
b,1507,2186
b,1515,18575
b,1520,4194
b,1524,15834
b,1525,240
b,1527,578
b,1541,462
b,1563,18229
b,1564,4761
b,1568,10478
b,1572,14577
b,1574,6147
b,1575,14621
b,1579,15670
b,1581,59889
b,1582,12636
b,1584,10220
b,1587,19821
b,1588,4548
b,1589,3062
