letter,word,year,count
a,alliance,1515,30
a,alliance,1520,4
a,alliance,1524,16
a,alliance,1572,2
a,alliance,1575,10
a,alliance,1579,102
a,alliance,1581,46
a,alliance,1582,26
a,alliance,1584,2
a,alliance,1588,4
a,alliance,1590,20
a,alliance,1598,4
a,alliance,1607,20
a,alliance,1612,10
a,alliance,1620,4
a,alliance,1626,2
a,alliance,1630,2
a,alliance,1631,4
a,alliance,1632,8
a,alliance,1635,12
a,alliance,1637,44
a,alliance,1638,2
a,alliance,1644,18
a,alliance,1647,2
a,alliance,1648,146
a,alliance,1649,6
a,alliance,1653,18
a,alliance,1654,4
a,alliance,1655,46
a,alliance,1656,10
a,alliance,1657,16
a,alliance,1658,32
a,alliance,1659,14
a,alliance,1661,2
a,alliance,1662,8
a,alliance,1664,6
a,alliance,1665,2
a,alliance,1667,96
a,alliance,1668,20
a,alliance,1669,2
a,alliance,1670,60
a,alliance,1671,2
a,alliance,1672,2
a,alliance,1673,68
a,alliance,1675,50
a,alliance,1676,46
a,alliance,1677,6
a,alliance,1678,56
a,alliance,1679,94
a,alliance,1680,342
a,alliance,1681,80
a,alliance,1682,26
a,alliance,1683,156
a,alliance,1684,20
a,alliance,1685,162
a,alliance,1686,54
a,alliance,1687,132
a,alliance,1688,96
a,alliance,1689,30
a,alliance,1690,8
a,alliance,1691,4
a,alliance,1692,82
a,alliance,1693,50
a,alliance,1694,32
a,alliance,1695,14
a,alliance,1696,18
a,alliance,1697,64
a,alliance,1698,152
a,alliance,1699,142
a,alliance,1700,268
a,alliance,1701,70
a,alliance,1702,234
a,alliance,1703,214
a,alliance,1704,378
a,alliance,1705,300
a,alliance,1706,252
a,alliance,1707,594
a,alliance,1708,160
a,alliance,1709,204
a,alliance,1710,212
a,alliance,1711,1056
a,alliance,1712,510
a,alliance,1713,112
a,alliance,1714,578
a,alliance,1715,634
a,alliance,1716,440
a,alliance,1717,252
a,alliance,1718,88
a,alliance,1719,332
a,alliance,1720,236
a,alliance,1721,198
a,alliance,1722,100
a,alliance,1723,286
a,alliance,1724,686
a,alliance,1725,536
a,alliance,1726,344
a,alliance,1727,1018
a,alliance,1728,698
a,alliance,1729,984
a,alliance,1730,742
a,alliance,1731,1332
a,alliance,1732,1042
a,alliance,1733,550
a,alliance,1734,822
a,alliance,1735,604
a,alliance,1736,504
a,alliance,1737,244
a,alliance,1738,556
a,alliance,1739,844
a,alliance,1740,1174
a,alliance,1741,644
a,alliance,1742,716
a,alliance,1743,814
a,alliance,1744,1500
a,alliance,1745,366
a,alliance,1746,654
a,alliance,1747,1624
a,alliance,1748,908
a,alliance,1749,696
a,alliance,1750,1508
a,alliance,1751,860
a,alliance,1752,2148
a,alliance,1753,1590
a,alliance,1754,2372
a,alliance,1755,1534
a,alliance,1756,572
a,alliance,1757,1200
a,alliance,1758,2244
a,alliance,1759,2450
a,alliance,1760,1470
a,alliance,1761,4522
a,alliance,1762,1446
a,alliance,1763,2912
a,alliance,1764,2234
a,alliance,1765,894
a,alliance,1766,2758
a,alliance,1767,890
a,alliance,1768,2726
a,alliance,1769,1274
a,alliance,1770,1924
a,alliance,1771,1698
a,alliance,1772,1214
a,alliance,1773,1790
a,alliance,1774,1242
a,alliance,1775,2186
a,alliance,1776,1574
a,alliance,1777,1666
a,alliance,1778,2300
a,alliance,1779,2474
a,alliance,1780,1560
a,alliance,1781,2208
a,alliance,1782,2772
a,alliance,1783,1296
a,alliance,1784,1518
a,alliance,1785,1388
a,alliance,1786,2568
a,alliance,1787,4140
a,alliance,1788,4180
a,alliance,1789,6718
a,alliance,1790,3230
a,alliance,1791,3092
a,alliance,1792,3590
a,alliance,1793,3562
a,alliance,1794,2360
a,alliance,1795,3280
a,alliance,1796,3666
a,alliance,1797,3620
a,alliance,1798,3414
a,alliance,1799,2148
a,alliance,1800,5180
a,alliance,1801,7202
a,alliance,1802,8942
a,alliance,1803,6636
a,alliance,1804,9804
a,alliance,1805,9538
a,alliance,1806,7986
a,alliance,1807,8974
a,alliance,1808,8892
a,alliance,1809,8948
a,alliance,1810,10692
a,alliance,1811,13370
a,alliance,1812,9842
a,alliance,1813,7696
a,alliance,1814,13274
a,alliance,1815,10902
a,alliance,1816,8926
a,alliance,1817,12782
a,alliance,1818,14360
a,alliance,1819,9424
a,alliance,1820,16622
a,alliance,1821,10048
a,alliance,1822,15954
a,alliance,1823,20544
a,alliance,1824,13554
a,alliance,1825,21190
a,alliance,1826,22838
a,alliance,1827,15946
a,alliance,1828,18586
a,alliance,1829,20512
a,alliance,1830,17288
a,alliance,1831,18326
a,alliance,1832,18460
a,alliance,1833,14526
a,alliance,1834,17314
a,alliance,1835,21282
a,alliance,1836,30290
a,alliance,1837,20724
a,alliance,1838,20144
a,alliance,1839,23748
a,alliance,1840,25226
a,alliance,1841,23492
a,alliance,1842,16254
a,alliance,1843,18688
a,alliance,1844,25814
a,alliance,1845,31426
a,alliance,1846,31340
a,alliance,1847,35390
a,alliance,1848,29118
a,alliance,1849,31114
a,alliance,1850,30136
a,alliance,1851,38982
a,alliance,1852,35514
a,alliance,1853,40312
a,alliance,1854,45864
a,alliance,1855,40836
a,alliance,1856,40744
a,alliance,1857,39726
a,alliance,1858,35320
a,alliance,1859,33498
a,alliance,1860,32276
a,alliance,1861,29898
a,alliance,1862,21564
a,alliance,1863,23904
a,alliance,1864,34298
a,alliance,1865,23958
a,alliance,1866,29920
a,alliance,1867,23868
a,alliance,1868,23544
a,alliance,1869,24884
a,alliance,1870,24754
a,alliance,1871,26724
a,alliance,1872,25356
a,alliance,1873,26108
a,alliance,1874,32790
a,alliance,1875,46032
a,alliance,1876,33598
a,alliance,1877,47690
a,alliance,1878,34360
a,alliance,1879,34266
a,alliance,1880,46624
a,alliance,1881,41988
a,alliance,1882,48734
a,alliance,1883,42110
a,alliance,1884,45924
a,alliance,1885,43444
a,alliance,1886,37324
a,alliance,1887,45080
a,alliance,1888,38002
a,alliance,1889,40734
a,alliance,1890,43576
a,alliance,1891,49660
a,alliance,1892,48962
a,alliance,1893,42650
a,alliance,1894,53810
a,alliance,1895,47856
a,alliance,1896,56216
a,alliance,1897,50614
a,alliance,1898,64554
a,alliance,1899,66276
a,alliance,1900,78044
a,alliance,1901,72862
a,alliance,1902,71748
a,alliance,1903,61536
a,alliance,1904,73622
a,alliance,1905,74604
a,alliance,1906,70672
a,alliance,1907,66722
a,alliance,1908,68376
a,alliance,1909,60834
a,alliance,1910,58338
a,alliance,1911,58744
a,alliance,1912,62778
a,alliance,1913,64816
a,alliance,1914,71374
a,alliance,1915,88922
a,alliance,1916,72872
a,alliance,1917,65878
a,alliance,1918,71954
a,alliance,1919,74286
a,alliance,1920,86186
a,alliance,1921,72904
a,alliance,1922,75384
a,alliance,1923,62236
a,alliance,1924,57456
a,alliance,1925,60590
a,alliance,1926,53398
a,alliance,1927,66342
a,alliance,1928,67422
