year,total_tokens
1505,33796
1507,51932
1515,347173
1520,65236
1524,305121
1525,4114
1527,5684
1541,6366
1563,279495
1564,77613
1568,187659
1572,211403
1574,67005
1575,205740
1579,251855
1581,860061
1582,185114
1584,169098
1587,312258
1588,51824
1589,42280
1590,738377
1592,118765
1593,49656
1594,14057
1595,39950
1597,13529
1598,101742
1600,473095
1602,3899
1603,83772
1605,18168
1606,79822
1607,461592
1610,7553
1611,57372
1612,61124
1614,9963
1618,24031
1619,67733
1620,266868
1621,83073
1623,147768
1624,182421
1625,82019
1626,51225
1628,7990
1629,334119
1630,180017
1631,479835
1632,52328
1634,179207
1635,302935
1636,37007
1637,739043
1638,269823
1640,69561
1641,57443
1642,161725
1643,205476
1644,1207397
1645,299599
1646,64850
1647,391638
1648,582164
1649,318659
1650,232794
1651,649593
1652,205360
1653,460581
1654,46689
1655,347811
1656,799018
1657,386975
1658,977943
1659,638062
1660,157242
1661,164999
1662,283156
1663,249784
1664,360005
1665,322841
1666,101207
1667,942489
1668,1348661
1669,417276
1670,924847
1671,177323
1672,489069
1673,1146977
1674,156555
1675,2031475
1676,2199606
1677,990655
1678,2424225
1679,1366151
1680,1312430
1681,3163028
1682,4517682
1683,5148354
1684,2085155
1685,2853454
1686,1590008
1687,1484911
1688,3163506
1689,1193032
1690,1092283
1691,392695
1692,2040280
1693,1273261
1694,2490940
1695,1449297
1696,996777
1697,1171746
1698,3860593
1699,3457511
1700,4587417
1701,4775997
1702,6031040
1703,5130719
1704,6050812
1705,6030512
1706,8331576
1707,6612476
1708,7929400
1709,4071404
1710,8417768
1711,8215388
1712,4658101
1713,5720213
1714,9531893
1715,7803403
1716,6154882
1717,8517299
1718,6277730
1719,6052458
1720,11536717
1721,8526021
1722,12718894
1723,9219838
1724,10519575
1725,12792160
1726,12038626
1727,15826767
1728,13715920
1729,15123816
1730,14916191
1731,15816402
1732,12410151
1733,7040405
1734,12443707
1735,11034238
1736,9809154
1737,15989130
1738,16790347
1739,14111290
1740,13818976
1741,9876194
1742,14032649
1743,11541662
1744,17003684
1745,10969298
1746,8780943
1747,19387876
1748,18816963
1749,15221203
1750,23627908
1751,24552293
1752,17567405
1753,23487091
1754,25206115
1755,24780888
1756,10661248
1757,16729811
1758,21202007
1759,26126460
1760,17844954
1761,22051104
1762,13795886
1763,24750904
1764,22953965
1765,19076799
1766,32584307
1767,24640009
1768,33547136
1769,22388372
1770,26939284
1771,24339901
1772,24509795
1773,23049036
1774,23756865
1775,30843368
1776,32507655
1777,27673229
1778,25337720
1779,22583182
1780,23671770
1781,26289454
1782,26106819
1783,25648946
1784,32687245
1785,32435998
1786,33998614
1787,50405726
1788,52747419
1789,46829761
1790,49681942
1791,54493460
1792,58331041
1793,51431458
1794,59570982
1795,56620170
1796,68697734
1797,57551682
1798,56630939
1799,61769442
1800,87404465
1801,132195234
1802,118175078
1803,129318335
1804,141155604
1805,142322390
1806,145807672
1807,158867626
1808,161359191
1809,170728587
1810,186702715
1811,218844390
1812,213007305
1813,179101064
1814,207879114
1815,194414546
1816,200724180
1817,226442017
1818,253181470
1819,215945241
1820,287561730
1821,225009857
1822,335799859
1823,316740067
1824,382067396
1825,395690599
1826,303413715
1827,316168564
1828,341844631
1829,365763247
1830,425747056
1831,390951728
1832,390612343
1833,387781123
1834,376763857
1835,444427326
1836,458158395
1837,420040223
1838,446879619
1839,515110570
1840,527906580
1841,482111889
1842,434243183
1843,503290204
