lag,CCF_levels,CCF_diff,CI_95_levels,CI_95_diff
-12,-0.428838,0.05934,0.141451,0.141821
-11,-0.448164,0.119254,0.141451,0.141821
-10,-0.481794,0.068088,0.141451,0.141821
-9,-0.51627,0.06151,0.141451,0.141821
-8,-0.558136,0.050854,0.141451,0.141821
-7,-0.598822,0.020454,0.141451,0.141821
-6,-0.643796,-0.065395,0.141451,0.141821
-5,-0.682499,-0.087698,0.141451,0.141821
-4,-0.712854,-0.093463,0.141451,0.141821
-3,-0.735287,-0.130247,0.141451,0.141821
-2,-0.743797,-0.126766,0.141451,0.141821
-1,-0.738768,-0.161937,0.141451,0.141821
0,-0.720599,-0.114734,0.141451,0.141821
1,-0.694332,-0.06581,0.141451,0.141821
2,-0.662416,-0.066287,0.141451,0.141821
3,-0.624133,-0.03657,0.141451,0.141821
4,-0.583708,-0.072552,0.141451,0.141821
5,-0.534665,0.038182,0.141451,0.141821
6,-0.489767,0.000904,0.141451,0.141821
7,-0.443858,0.098984,0.141451,0.141821
8,-0.406675,0.14971,0.141451,0.141821
9,-0.382422,0.007818,0.141451,0.141821
10,-0.359122,0.116785,0.141451,0.141821
11,-0.345798,0.052273,0.141451,0.141821
12,-0.337008,-0.000117,0.141451,0.141821
