lag,CCF_levels,CCF_diff,CI_95_levels,CI_95_diff
-12,-0.290344,-0.032977,0.141451,0.141821
-11,-0.292985,0.033627,0.141451,0.141821
-10,-0.312778,-0.020765,0.141451,0.141821
-9,-0.321352,0.027888,0.141451,0.141821
-8,-0.343253,0.040206,0.141451,0.141821
-7,-0.373533,0.052093,0.141451,0.141821
-6,-0.426782,-0.013861,0.141451,0.141821
-5,-0.472415,0.004219,0.141451,0.141821
-4,-0.519591,0.000821,0.141451,0.141821
-3,-0.565754,-0.043219,0.141451,0.141821
-2,-0.593412,-0.01052,0.141451,0.141821
-1,-0.614027,-0.164471,0.141451,0.141821
0,-0.573527,-0.011034,0.141451,0.141821
1,-0.531198,-0.043255,0.141451,0.141821
2,-0.473873,-0.018203,0.141451,0.141821
3,-0.409528,0.028921,0.141451,0.141821
4,-0.355416,-0.011917,0.141451,0.141821
5,-0.294737,0.070387,0.141451,0.141821
6,-0.26354,0.085515,0.141451,0.141821
7,-0.262654,0.006427,0.141451,0.141821
8,-0.264574,0.00052,0.141451,0.141821
9,-0.266082,-0.07176,0.141451,0.141821
10,-0.241755,0.031611,0.141451,0.141821
11,-0.229637,-0.076644,0.141451,0.141821
12,-0.186034,0.129118,0.141451,0.141821
