lag,F_stat,F_pvalue,chi2_stat,chi2_pval,df_denom,direction
1,0.0213,0.884,0.0217,0.8829,187,COLOR→wars
2,0.0901,0.9139,0.1851,0.9116,184,COLOR→wars
3,0.0642,0.9787,0.2,0.9776,181,COLOR→wars
4,0.1543,0.9609,0.6483,0.9575,178,COLOR→wars
5,0.4522,0.8113,2.4031,0.791,175,COLOR→wars
6,0.2887,0.9417,1.8634,0.9318,172,COLOR→wars
7,0.5285,0.8121,4.0278,0.7766,169,COLOR→wars
8,1.3899,0.2043,12.2576,0.1401,166,COLOR→wars
9,1.2189,0.2867,12.2492,0.1996,163,COLOR→wars
10,1.1446,0.3325,12.9488,0.2265,160,COLOR→wars
11,1.0358,0.4176,13.0633,0.2892,157,COLOR→wars
12,1.38,0.1809,19.2479,0.0827,154,COLOR→wars
13,1.2846,0.2279,19.6854,0.1033,151,COLOR→wars
14,1.3539,0.1831,22.6688,0.0659,148,COLOR→wars
15,1.514,0.1072,27.5651,0.0245,145,COLOR→wars
16,1.478,0.1157,29.1443,0.023,142,COLOR→wars
17,1.4253,0.1333,30.3316,0.0241,139,COLOR→wars
18,1.4676,0.1111,33.6037,0.0141,136,COLOR→wars
19,1.3744,0.1501,33.7702,0.0196,133,COLOR→wars
20,1.2268,0.2429,32.2733,0.0405,130,COLOR→wars
21,1.2338,0.2348,34.6811,0.0306,127,COLOR→wars
22,1.1353,0.3199,34.0397,0.0487,124,COLOR→wars
23,1.0157,0.4516,32.4363,0.0914,121,COLOR→wars
24,1.0412,0.4217,35.3663,0.0632,118,COLOR→wars
25,0.9849,0.4925,35.5437,0.0788,115,COLOR→wars
1,10.5317,0.0014,10.7007,0.0011,187,wars→COLOR
2,6.0316,0.0029,12.3911,0.002,184,wars→COLOR
3,4.8111,0.003,14.9913,0.0018,181,wars→COLOR
4,4.2024,0.0028,17.6594,0.0014,178,wars→COLOR
5,3.0249,0.0121,16.075,0.0066,175,wars→COLOR
6,2.7083,0.0154,17.4777,0.0077,172,wars→COLOR
7,2.4634,0.0197,18.7745,0.0089,169,wars→COLOR
8,2.3437,0.0206,20.6698,0.0081,166,wars→COLOR
9,2.0656,0.0354,20.7576,0.0138,163,wars→COLOR
10,1.9718,0.0396,22.306,0.0136,160,wars→COLOR
11,1.7224,0.0729,21.7224,0.0266,157,wars→COLOR
12,1.7354,0.0642,24.206,0.0191,154,wars→COLOR
13,1.5427,0.1083,23.6414,0.0346,151,wars→COLOR
14,1.5033,0.1163,25.1704,0.0329,148,wars→COLOR
15,1.3957,0.1566,25.411,0.0447,145,wars→COLOR
16,1.3384,0.1821,26.3911,0.0488,142,wars→COLOR
17,1.2491,0.2352,26.5811,0.0645,139,wars→COLOR
18,1.2158,0.257,27.8378,0.0646,136,wars→COLOR
19,1.1231,0.3354,27.5973,0.0915,133,wars→COLOR
20,1.1005,0.3568,28.9514,0.0887,130,wars→COLOR
21,0.97,0.5043,27.2665,0.1622,127,wars→COLOR
22,1.0015,0.4677,30.0295,0.1177,124,wars→COLOR
23,0.9691,0.5095,30.9456,0.1241,121,wars→COLOR
24,0.9419,0.5465,31.9926,0.1272,118,wars→COLOR
25,0.8933,0.6135,32.2362,0.1513,115,wars→COLOR
