lag,F_stat,F_pvalue,chi2_stat,chi2_pval,df_denom,direction
1,0.4325,0.5116,0.4394,0.5074,187,COLOR→wars
2,0.9588,0.3853,1.9697,0.3735,184,COLOR→wars
3,0.9743,0.4061,3.0359,0.3861,181,COLOR→wars
4,0.8351,0.5045,3.5095,0.4764,178,COLOR→wars
5,0.9172,0.4712,4.874,0.4314,175,COLOR→wars
6,1.553,0.1637,10.0226,0.1237,172,COLOR→wars
7,1.4806,0.1772,11.2842,0.1267,169,COLOR→wars
8,1.4115,0.195,12.4481,0.1323,166,COLOR→wars
9,1.1638,0.3216,11.6951,0.2311,163,COLOR→wars
10,1.0166,0.4318,11.4999,0.3199,160,COLOR→wars
11,1.1608,0.3186,14.6395,0.1996,157,COLOR→wars
12,1.1964,0.2903,16.6873,0.1617,154,COLOR→wars
1,6.6516,0.0107,6.7583,0.0093,187,wars→COLOR
2,5.4644,0.005,11.2258,0.0037,184,wars→COLOR
3,5.184,0.0019,16.1533,0.0011,181,wars→COLOR
4,4.7347,0.0012,19.8965,0.0005,178,wars→COLOR
5,3.7923,0.0028,20.1536,0.0012,175,wars→COLOR
6,3.2196,0.0051,20.7779,0.002,172,wars→COLOR
7,2.4736,0.0193,18.8522,0.0087,169,wars→COLOR
8,2.0729,0.0411,18.2819,0.0192,166,wars→COLOR
9,1.6771,0.0983,16.8529,0.0511,163,wars→COLOR
10,1.589,0.1141,17.9755,0.0554,160,wars→COLOR
11,1.3853,0.1846,17.4705,0.0947,157,wars→COLOR
12,1.3766,0.1826,19.2007,0.0838,154,wars→COLOR
