lag,CCF_levels,CCF_diff
-15,-0.417667,0.289635
-14,-0.431916,0.307896
-13,-0.451542,0.337393
-12,-0.476855,0.321212
-11,-0.507303,0.265572
-10,-0.542023,0.172047
-9,-0.578892,0.112334
-8,-0.616898,0.019462
-7,-0.654297,-0.086267
-6,-0.689279,-0.203531
-5,-0.720039,-0.317284
-4,-0.744504,-0.388963
-3,-0.761601,-0.454068
-2,-0.770304,-0.501786
-1,-0.769892,-0.548887
0,-0.759761,-0.494999
1,-0.739561,-0.447154
2,-0.71144,-0.344578
3,-0.67702,-0.18998
4,-0.638826,-0.123171
5,-0.598179,0.034811
6,-0.557755,0.122215
7,-0.518833,0.166161
8,-0.482246,0.231085
9,-0.449312,0.26039
10,-0.420679,0.373946
11,-0.39831,0.359687
12,-0.38201,0.390357
13,-0.37302,0.362784
14,-0.370863,0.24752
15,-0.373629,0.279702
