lag,CCF_levels,CCF_diff,CI_95_levels,CI_95_diff
-10,0.822726,-0.02945,0.24892,0.250952
-9,0.823205,0.155666,0.24892,0.250952
-8,0.801483,-0.255206,0.24892,0.250952
-7,0.807767,0.197676,0.24892,0.250952
-6,0.811245,0.001647,0.24892,0.250952
-5,0.819687,-0.06581,0.24892,0.250952
-4,0.820264,0.094405,0.24892,0.250952
-3,0.797277,-0.274934,0.24892,0.250952
-2,0.797052,0.308443,0.24892,0.250952
-1,0.787923,-0.172388,0.24892,0.250952
0,0.776926,0.141078,0.24892,0.250952
1,0.780163,-0.053238,0.24892,0.250952
2,0.777391,-0.003883,0.24892,0.250952
3,0.777128,-0.027155,0.24892,0.250952
4,0.769378,0.049465,0.24892,0.250952
5,0.766894,-0.173117,0.24892,0.250952
6,0.762878,0.24094,0.24892,0.250952
7,0.758963,-0.182521,0.24892,0.250952
8,0.758288,-0.067543,0.24892,0.250952
9,0.758857,0.153579,0.24892,0.250952
10,0.750634,-0.257747,0.24892,0.250952
