lag,F_stat,F_pvalue,chi2_pval,direction
1,0.0001,0.9925,0.9923,COLOR→UCDP
2,0.0682,0.9342,0.9282,COLOR→UCDP
3,0.1823,0.9079,0.8914,COLOR→UCDP
4,0.1373,0.9677,0.9571,COLOR→UCDP
5,0.4332,0.823,0.7468,COLOR→UCDP
6,0.5949,0.7326,0.5862,COLOR→UCDP
7,0.4572,0.8591,0.729,COLOR→UCDP
8,0.5776,0.7893,0.5581,COLOR→UCDP
9,0.4979,0.8652,0.6308,COLOR→UCDP
10,0.781,0.6462,0.2086,COLOR→UCDP
1,0.8494,0.3606,0.3444,UCDP→COLOR
2,2.5327,0.0888,0.0628,UCDP→COLOR
3,1.6436,0.1909,0.1324,UCDP→COLOR
4,0.6413,0.6356,0.5501,UCDP→COLOR
5,0.6798,0.641,0.5168,UCDP→COLOR
6,0.5715,0.7506,0.6106,UCDP→COLOR
7,0.476,0.846,0.707,UCDP→COLOR
8,0.32,0.9531,0.8773,UCDP→COLOR
9,0.3163,0.9638,0.8766,UCDP→COLOR
10,1.0311,0.4422,0.0635,UCDP→COLOR
