year,wars,wars_smooth,wars_pc,pop,color,gdelt_wars,gdelt_goldstein
1816,2.0999999999999996,3.133333333333333,,,-0.2679869481850897,0,
1817,4.199999999999999,3.1714285714285713,,,-0.3023115622594077,0,
1818,4.6,3.2125,,,-0.2650039689203785,0,
1819,1.1,3.1777777777777776,,,-0.1995777924249586,0,
1820,1.9000000000000001,3.29,3.087394039135109e-09,1065623616.0,-0.2362154853281438,0,
1821,4.9,3.4818181818181815,,,-0.2172814974310022,0,
1822,3.4,3.5181818181818176,,,-0.22794785065399506,0,
1823,3.5,3.5454545454545454,,,-0.2883356142406911,0,
1824,2.8999999999999995,3.436363636363636,,,-0.17213095178838617,0,
1825,4.3,3.609090909090909,,,-0.26267497822824526,0,
1826,5.3999999999999995,3.6181818181818177,,,-0.15959555684145627,0,
1827,2.4999999999999996,3.4545454545454546,,,-0.2849018173389603,0,
1828,4.5,3.2818181818181817,,,-0.235634363050369,0,
1829,3.4,3.2090909090909094,,,-0.2407624674266022,0,
1830,3.0,3.227272727272727,2.810710187257715e-09,1148205440.0,-0.19033090970106273,0,
1831,2.0,3.1181818181818177,,,-0.22816995365623832,0,
1832,3.1000000000000005,2.909090909090909,,,-0.2374160026525874,0,
1833,1.5,3.0,,,-0.18547170273770408,0,
1834,2.7,3.0,,,-0.22557110845061848,0,
1835,3.1000000000000005,3.1363636363636362,,,-0.2537193184356092,0,
1836,3.1000000000000005,3.4818181818181824,,,-0.21642898987974493,0,
1837,3.1000000000000005,3.6727272727272733,,,-0.24239336370654463,0,
1838,3.5,3.754545454545455,,,-0.24717717805130612,0,
1839,4.5,3.8818181818181823,,,-0.22307233210815522,0,
1840,4.9,4.0636363636363635,3.3590586991597042e-09,1209754496.0,-0.23032200320711696,0,
1841,6.8,4.609090909090909,,,-0.22552803146815195,0,
1842,4.1,4.972727272727273,,,-0.22232252573789416,0,
1843,4.0,5.918181818181819,,,-0.23205361336711366,0,
1844,2.8999999999999995,6.927272727272728,,,-0.20511092346421836,0,
1845,4.7,6.790909090909091,,,-0.2586433334089979,0,
1846,9.100000000000001,6.863636363636363,,,-0.22753951469652975,0,
1847,7.1,6.736363636363635,,,-0.2565947260262206,0,
1848,13.5,6.654545454545455,,,-0.23969412828392192,0,
1849,14.6,6.936363636363637,,,-0.25933915656756645,0,
1850,3.0,7.4,5.749654498599297e-09,1287033856.0,-0.28273447049474304,0,
1851,5.699999999999999,8.1,,,-0.2112920382290273,0,
1852,5.4,7.8090909090909095,,,-0.2912850437978577,0,
1853,3.2,7.527272727272727,,,-0.24204178759213077,0,
1854,7.1000000000000005,7.245454545454544,,,-0.2546094960433961,0,
1855,8.0,7.072727272727272,,,-0.29261632047658814,0,
1856,12.399999999999999,7.409090909090909,,,-0.2809969847974722,0,
1857,5.9,7.572727272727272,,,-0.29797155005848697,0,
1858,4.0,8.127272727272727,,,-0.2575552823667421,0,
1859,10.399999999999999,9.281818181818181,,,-0.27365569940400114,0,
1860,12.7,9.89090909090909,7.347859394370929e-09,1346093952.0,-0.297173962685942,0,
1861,6.7,11.381818181818181,,,-0.3226906493500243,0,
1862,7.500000000000001,11.1,,,-0.3807531195433053,0,
1863,11.5,11.29090909090909,,,-0.3587618341310818,0,
1864,15.899999999999999,11.545454545454545,,,-0.35643520888590785,0,
1865,13.8,11.772727272727273,,,-0.3948891621347744,0,
1866,24.4,11.281818181818181,,,-0.4577480829116147,0,
1867,9.3,11.08181818181818,,,-0.38385730360841475,0,
1868,8.0,10.836363636363636,,,-0.3900372592447092,0,
1869,6.800000000000001,10.19090909090909,,,-0.32107285168547584,0,
1870,12.9,9.072727272727274,6.736691130167134e-09,1346763136.0,-0.30869024866463585,0,
1871,7.3,8.536363636363635,,,-0.33897442645404635,0,
1872,4.5,6.863636363636363,,,-0.2509859344881446,0,
1873,4.8,6.718181818181819,,,-0.2487828226042395,0,
1874,4.4,6.590909090909091,,,-0.28132445808762235,0,
1875,3.5999999999999996,6.536363636363635,,,-0.2897439764561418,0,
1876,7.9,6.054545454545454,,,-0.3197469215483057,0,
1877,6.0,6.136363636363637,,,-0.2665895823260525,0,
1878,7.699999999999999,6.290909090909091,,,-0.31916904967704984,0,
1879,6.6,6.363636363636363,,,-0.3062568312695727,0,
1880,6.2,6.781818181818181,4.750107408970276e-09,1427718912.0,-0.31898618267888595,0,
1881,7.6,6.581818181818182,,,-0.35936719156717095,0,
1882,8.2,5.99090909090909,,,-0.3276592534269844,0,
1883,6.2,5.572727272727273,,,-0.31290219992040097,0,
1884,5.6,4.9363636363636365,,,-0.3046776799087027,0,
1885,9.0,4.536363636363637,,,-0.3413500003549361,0,
1886,1.4,4.1454545454545455,,,-0.33362030917327223,0,
1887,1.4,3.6545454545454548,,,-0.3101836690497015,0,
1888,1.4,3.3,,,-0.30775073553764026,0,
1889,0.7,3.4454545454545453,,,-0.32867698022318176,0,
1890,2.2,3.7181818181818183,2.401296813944827e-09,1548405760.0,-0.3630085141076326,0,
1891,1.9000000000000001,3.436363636363636,,,-0.31708942062373724,0,
1892,2.2,3.8818181818181823,,,-0.34394695943990033,0,
1893,4.3,4.327272727272727,,,-0.3455656917501466,0,
1894,7.799999999999999,4.636363636363636,,,-0.32246613451479134,0,
1895,8.6,5.663636363636363,,,-0.34765887632705905,0,
1896,5.9,5.827272727272727,,,-0.3439358322544007,0,
1897,6.3,6.181818181818182,,,-0.37236523374970565,0,
1898,6.3,6.409090909090909,,,-0.35745251441580034,0,
1899,4.8,6.6909090909090905,,,-0.3805975067224533,0,
1900,12.0,6.427272727272728,3.847201952722086e-09,1670635648.0,-0.33086595586684925,0,
1901,4.0,6.3090909090909095,,,-0.3338539608649616,0,
1902,5.799999999999999,6.372727272727272,,,-0.31445292864858815,0,
1903,4.7,6.063636363636363,,,-0.324529903684226,0,
1904,7.3999999999999995,6.072727272727272,,,-0.29974604108975067,0,
1905,4.8999999999999995,6.254545454545454,,,-0.3242535489496264,0,
1906,7.3,5.590909090909091,,,-0.3214970816903257,0,
1907,6.6,6.081818181818182,,,-0.34411428932226185,0,
1908,2.8999999999999995,6.736363636363635,,,-0.2961705255667621,0,
1909,6.4,7.4363636363636365,,,-0.2871900412967393,0,
1910,6.8,7.972727272727273,4.42875313317771e-09,1800219392.0,-0.31301401405224094,0,
1911,4.7,8.89090909090909,,,-0.3189135467055639,0,
1912,9.4,9.80909090909091,,,-0.3075703599085467,0,
1913,13.0,11.245454545454546,,,-0.31779952834755704,0,
1914,12.4,12.9,,,-0.3386647420212418,0,
1915,13.299999999999999,14.272727272727273,,,-0.37489944362963273,0,
1916,15.0,14.563636363636364,,,-0.3722343624953046,0,
1917,17.4,14.627272727272727,,,-0.42782140653501666,0,
1918,22.4,14.045454545454545,,,-0.47417224898793825,0,
1919,21.1,13.17272727272727,,,-0.47864057664706805,0,
1920,21.5,12.445454545454545,6.455589581698709e-09,1927857152.0,-0.4096929496904275,0,
1921,10.0,11.636363636363637,,,-0.37423829126617547,0,
1922,5.4,10.509090909090908,,,-0.330250667299572,0,
1923,3.0,9.172727272727272,,,-0.3886164936141007,0,
1924,3.4,7.636363636363637,,,-0.3462636032184078,0,
1925,4.4,6.127272727272728,,,-0.30636568848592405,0,
1926,4.4,4.654545454545455,,,-0.34778225630596454,0,
1927,2.6,4.427272727272728,,,-0.3400751481066271,0,
1928,2.7,4.445454545454546,,,-0.331141630652745,0,
1929,5.5,4.718181818181819,,,-0.3108350559259891,0,
1930,4.5,4.8090909090909095,2.2830786564069716e-09,2106406144.0,-0.3491246726516126,0,
1931,5.3,4.790909090909091,,,-0.33643179455234096,0,
1932,7.5,4.7727272727272725,,,-0.3301898536752363,0,
1933,5.6,5.1000000000000005,,,-0.31030746378605145,0,
1934,6.0,6.354545454545455,,,-0.3237594240487539,0,
1935,4.4,7.618181818181819,,,-0.31896191489453,0,
1936,4.2,9.336363636363636,,,-0.329094201989336,0,
1937,4.2,10.218181818181819,,,-0.37442708602843233,0,
1938,6.2,11.02727272727273,,,-0.30544336190295035,0,
1939,16.5,12.318181818181818,,,-0.3593055956722517,0,
1940,19.4,13.663636363636362,5.868100021412076e-09,2328460032.0,-0.3581393661525654,0,
1941,23.4,13.636363636363637,,,-0.4355382754408938,0,
1942,15.0,13.818181818181818,,,-0.5167149694705471,0,
1943,16.4,14.709090909090907,,,-0.5432899956510644,0,
1944,19.8,14.854545454545455,,,-0.5188934615241871,0,
1945,20.799999999999997,14.581818181818182,,,-0.4821774828324366,0,
1946,4.1,14.509090909090908,,,-0.4790272887455623,0,
1947,6.2,14.236363636363636,,,-0.46597242456085003,0,
1948,14.0,14.754545454545456,,,-0.4497062716983992,0,
1949,7.800000000000001,13.9,,,-0.4646007826803501,0,
